Step 3067 (187 ms) -- loss_pure: 0.5660, loss: 23470.4668, learning_rate: 0.0300
Step 3068 (178 ms) -- loss_pure: 0.5659, loss: 23469.0605, learning_rate: 0.0300
Step 3069 (165 ms) -- loss_pure: 0.6792, loss: 23467.7637, learning_rate: 0.0300
Step 3070 (163 ms) -- loss_pure: 0.4810, loss: 23466.1562, learning_rate: 0.0300
Step 3071 (191 ms) -- loss_pure: 0.5658, loss: 23464.8340, learning_rate: 0.0300
Step 3072 (238 ms) -- loss_pure: 0.5085, loss: 23463.3672, learning_rate: 0.0300
Step 3073 (259 ms) -- loss_pure: 0.5942, loss: 23462.0469, learning_rate: 0.0300
Step 3074 (237 ms) -- loss_pure: 0.5371, loss: 23460.5820, learning_rate: 0.0300
Step 3075 (220 ms) -- loss_pure: 0.6513, loss: 23459.2891, learning_rate: 0.0300
Step 3076 (261 ms) -- loss_pure: 0.6228, loss: 23457.8516, learning_rate: 0.0300
Step 3077 (246 ms) -- loss_pure: 0.5082, loss: 23456.3281, learning_rate: 0.0300
Step 3078 (244 ms) -- loss_pure: 0.5655, loss: 23454.9785, learning_rate: 0.0300
Step 3079 (219 ms) -- loss_pure: 0.6229, loss: 23453.6289, learning_rate: 0.0300
Step 3080 (236 ms) -- loss_pure: 0.6515, loss: 23452.2520, learning_rate: 0.0300
Step 3081 (202 ms) -- loss_pure: 0.5369, loss: 23450.7305, learning_rate: 0.0300
Step 3082 (253 ms) -- loss_pure: 0.6228, loss: 23449.4062, learning_rate: 0.0300
Step 3083 (186 ms) -- loss_pure: 0.4793, loss: 23447.8555, learning_rate: 0.0300
Step 3084 (349 ms) -- loss_pure: 0.6229, loss: 23446.5938, learning_rate: 0.0300
Step 3085 (349 ms) -- loss_pure: 0.6516, loss: 23445.2168, learning_rate: 0.0300
Step 3086 (232 ms) -- loss_pure: 0.6229, loss: 23443.7832, learning_rate: 0.0300
Step 3087 (265 ms) -- loss_pure: 0.6229, loss: 23442.3730, learning_rate: 0.0300
Step 3088 (238 ms) -- loss_pure: 0.5081, loss: 23440.8516, learning_rate: 0.0300
Step 3089 (251 ms) -- loss_pure: 0.5367, loss: 23439.4746, learning_rate: 0.0300
Step 3090 (172 ms) -- loss_pure: 0.5080, loss: 23438.0391, learning_rate: 0.0300
Step 3091 (228 ms) -- loss_pure: 0.5367, loss: 23436.6621, learning_rate: 0.0300
Step 3092 (233 ms) -- loss_pure: 0.4508, loss: 23435.1699, learning_rate: 0.0300
Step 3093 (220 ms) -- loss_pure: 0.5655, loss: 23433.8789, learning_rate: 0.0300
Step 3094 (230 ms) -- loss_pure: 0.5654, loss: 23432.4707, learning_rate: 0.0300
Step 3095 (218 ms) -- loss_pure: 0.5081, loss: 23431.0098, learning_rate: 0.0300
Step 3096 (186 ms) -- loss_pure: 0.5367, loss: 23429.6348, learning_rate: 0.0300
Step 3097 (422 ms) -- loss_pure: 0.4839, loss: 23428.1738, learning_rate: 0.0300
Step 3098 (126 ms) -- loss_pure: 0.5257, loss: 23426.8086, learning_rate: 0.0300
Step 3099 (122 ms) -- loss_pure: 0.7338, loss: 23425.6113, learning_rate: 0.0300
Step 3100 (149 ms) -- loss_pure: 0.8161, loss: 23424.2891, learning_rate: 0.0300
Step 3101 (129 ms) -- loss_pure: 0.8978, loss: 23422.9648, learning_rate: 0.0300
Step 3102 (126 ms) -- loss_pure: 0.7321, loss: 23421.3945, learning_rate: 0.0300
Step 3103 (140 ms) -- loss_pure: 0.9795, loss: 23420.2383, learning_rate: 0.0300
Step 3104 (122 ms) -- loss_pure: 0.4846, loss: 23418.3320, learning_rate: 0.0300
Step 3105 (137 ms) -- loss_pure: 0.6885, loss: 23417.1328, learning_rate: 0.0300
Step 3106 (140 ms) -- loss_pure: 0.6885, loss: 23415.7305, learning_rate: 0.0300
Step 3107 (135 ms) -- loss_pure: 0.8111, loss: 23414.4453, learning_rate: 0.0300
Step 3108 (130 ms) -- loss_pure: 0.6069, loss: 23412.8379, learning_rate: 0.0300
Step 3109 (133 ms) -- loss_pure: 0.6476, loss: 23411.4746, learning_rate: 0.0300
Step 3110 (141 ms) -- loss_pure: 0.7290, loss: 23410.1465, learning_rate: 0.0300
Step 3111 (128 ms) -- loss_pure: 0.6883, loss: 23408.7031, learning_rate: 0.0300
Step 3112 (143 ms) -- loss_pure: 0.6881, loss: 23407.2949, learning_rate: 0.0300
Step 3113 (144 ms) -- loss_pure: 0.6875, loss: 23405.8906, learning_rate: 0.0300
Step 3114 (131 ms) -- loss_pure: 0.6879, loss: 23404.4863, learning_rate: 0.0300
Step 3115 (117 ms) -- loss_pure: 0.6066, loss: 23403.0020, learning_rate: 0.0300
Step 3116 (139 ms) -- loss_pure: 0.6471, loss: 23401.6387, learning_rate: 0.0300
Step 3117 (134 ms) -- loss_pure: 0.6875, loss: 23400.2734, learning_rate: 0.0300
Step 3118 (139 ms) -- loss_pure: 0.7283, loss: 23398.9102, learning_rate: 0.0300
Step 3119 (140 ms) -- loss_pure: 0.7286, loss: 23397.5059, learning_rate: 0.0300
Step 3120 (121 ms) -- loss_pure: 0.7681, loss: 23396.1387, learning_rate: 0.0300
Step 3121 (146 ms) -- loss_pure: 0.6062, loss: 23394.5742, learning_rate: 0.0300
Step 3122 (138 ms) -- loss_pure: 0.6866, loss: 23393.2500, learning_rate: 0.0300
Step 3123 (137 ms) -- loss_pure: 0.7667, loss: 23391.9258, learning_rate: 0.0300
Step 3124 (137 ms) -- loss_pure: 0.8063, loss: 23390.5605, learning_rate: 0.0300
Step 3125 (156 ms) -- loss_pure: 0.8461, loss: 23389.1973, learning_rate: 0.0300
Step 3126 (130 ms) -- loss_pure: 0.6453, loss: 23387.5918, learning_rate: 0.0300
Step 3127 (148 ms) -- loss_pure: 0.7251, loss: 23386.2676, learning_rate: 0.0300
Step 3128 (134 ms) -- loss_pure: 0.8047, loss: 23384.9453, learning_rate: 0.0300
Step 3129 (139 ms) -- loss_pure: 0.7648, loss: 23383.5020, learning_rate: 0.0300
Step 3130 (149 ms) -- loss_pure: 0.8044, loss: 23382.1367, learning_rate: 0.0300
Step 3131 (150 ms) -- loss_pure: 0.7645, loss: 23380.6895, learning_rate: 0.0300
Step 3132 (142 ms) -- loss_pure: 0.6051, loss: 23379.1270, learning_rate: 0.0300
Step 3133 (172 ms) -- loss_pure: 0.6448, loss: 23377.7637, learning_rate: 0.0300
Step 3134 (152 ms) -- loss_pure: 0.8041, loss: 23376.5215, learning_rate: 0.0300
Step 3135 (173 ms) -- loss_pure: 0.8837, loss: 23375.1953, learning_rate: 0.0300
Step 3136 (170 ms) -- loss_pure: 0.7244, loss: 23373.6367, learning_rate: 0.0300
Step 3137 (168 ms) -- loss_pure: 0.7640, loss: 23372.2715, learning_rate: 0.0300
Step 3138 (161 ms) -- loss_pure: 0.8038, loss: 23370.9082, learning_rate: 0.0300
Step 3139 (143 ms) -- loss_pure: 0.5650, loss: 23369.2656, learning_rate: 0.0300
Step 3140 (171 ms) -- loss_pure: 0.7624, loss: 23368.0625, learning_rate: 0.0300
Step 3141 (170 ms) -- loss_pure: 0.8022, loss: 23366.6992, learning_rate: 0.0300
Step 3142 (164 ms) -- loss_pure: 0.5648, loss: 23365.0566, learning_rate: 0.0300
Step 3143 (171 ms) -- loss_pure: 0.7222, loss: 23363.8125, learning_rate: 0.0300
Step 3144 (129 ms) -- loss_pure: 0.7608, loss: 23362.4512, learning_rate: 0.0300
Step 3145 (172 ms) -- loss_pure: 0.7598, loss: 23361.0469, learning_rate: 0.0300
Step 3146 (151 ms) -- loss_pure: 0.5644, loss: 23359.4492, learning_rate: 0.0300
Step 3147 (161 ms) -- loss_pure: 0.6813, loss: 23358.1641, learning_rate: 0.0300
Step 3148 (163 ms) -- loss_pure: 0.6421, loss: 23356.7227, learning_rate: 0.0300
Step 3149 (120 ms) -- loss_pure: 0.6810, loss: 23355.3594, learning_rate: 0.0300
Step 3150 (183 ms) -- loss_pure: 0.7192, loss: 23353.9961, learning_rate: 0.0300
Step 3151 (132 ms) -- loss_pure: 0.7184, loss: 23352.5957, learning_rate: 0.0300
Step 3152 (134 ms) -- loss_pure: 0.7941, loss: 23351.2695, learning_rate: 0.0300
Step 3153 (132 ms) -- loss_pure: 0.6790, loss: 23349.7539, learning_rate: 0.0300
Step 3154 (139 ms) -- loss_pure: 0.6788, loss: 23348.3535, learning_rate: 0.0300
Step 3155 (148 ms) -- loss_pure: 0.7161, loss: 23346.9883, learning_rate: 0.0300
Step 3156 (120 ms) -- loss_pure: 0.7912, loss: 23345.6602, learning_rate: 0.0300
Step 3157 (153 ms) -- loss_pure: 0.6769, loss: 23344.1465, learning_rate: 0.0300
Step 3158 (135 ms) -- loss_pure: 0.8265, loss: 23342.8926, learning_rate: 0.0300
Step 3159 (149 ms) -- loss_pure: 0.8626, loss: 23341.5293, learning_rate: 0.0300
Step 3160 (118 ms) -- loss_pure: 0.6374, loss: 23339.9043, learning_rate: 0.0300
Step 3161 (166 ms) -- loss_pure: 0.7117, loss: 23338.5781, learning_rate: 0.0300
Step 3162 (146 ms) -- loss_pure: 0.5630, loss: 23337.0273, learning_rate: 0.0300
Step 3163 (148 ms) -- loss_pure: 0.6371, loss: 23335.7012, learning_rate: 0.0300
Step 3164 (164 ms) -- loss_pure: 0.6366, loss: 23334.3008, learning_rate: 0.0300
Step 3165 (155 ms) -- loss_pure: 0.6367, loss: 23332.9043, learning_rate: 0.0300
Step 3166 (157 ms) -- loss_pure: 0.7468, loss: 23331.6113, learning_rate: 0.0300
Step 3167 (167 ms) -- loss_pure: 0.8204, loss: 23330.2871, learning_rate: 0.0300
Step 3168 (154 ms) -- loss_pure: 0.8557, loss: 23328.9199, learning_rate: 0.0300
Step 3169 (149 ms) -- loss_pure: 0.4897, loss: 23327.1543, learning_rate: 0.0300
Step 3170 (155 ms) -- loss_pure: 0.7452, loss: 23326.0098, learning_rate: 0.0300
Step 3171 (177 ms) -- loss_pure: 0.6355, loss: 23324.5000, learning_rate: 0.0300
Step 3172 (133 ms) -- loss_pure: 0.7811, loss: 23323.2480, learning_rate: 0.0300
Step 3173 (130 ms) -- loss_pure: 0.6717, loss: 23321.7363, learning_rate: 0.0300
Step 3174 (140 ms) -- loss_pure: 0.5990, loss: 23320.2676, learning_rate: 0.0300
Step 3175 (128 ms) -- loss_pure: 0.6714, loss: 23318.9395, learning_rate: 0.0300
Step 3176 (176 ms) -- loss_pure: 0.7441, loss: 23317.6133, learning_rate: 0.0300
Step 3177 (172 ms) -- loss_pure: 0.6711, loss: 23316.1426, learning_rate: 0.0300
Step 3178 (160 ms) -- loss_pure: 0.8515, loss: 23314.9238, learning_rate: 0.0300
Step 3179 (159 ms) -- loss_pure: 0.6346, loss: 23313.3086, learning_rate: 0.0300
Step 3180 (143 ms) -- loss_pure: 0.5984, loss: 23311.8730, learning_rate: 0.0300
Step 3181 (144 ms) -- loss_pure: 0.7418, loss: 23310.6191, learning_rate: 0.0300
Step 3182 (172 ms) -- loss_pure: 0.6697, loss: 23309.1484, learning_rate: 0.0300
Step 3183 (150 ms) -- loss_pure: 0.5267, loss: 23307.6074, learning_rate: 0.0300
Step 3184 (133 ms) -- loss_pure: 0.7062, loss: 23306.3867, learning_rate: 0.0300
Step 3185 (142 ms) -- loss_pure: 0.6342, loss: 23304.9180, learning_rate: 0.0300
Step 3186 (135 ms) -- loss_pure: 0.6343, loss: 23303.5195, learning_rate: 0.0300
Step 3187 (138 ms) -- loss_pure: 0.5986, loss: 23302.0820, learning_rate: 0.0300
Step 3188 (161 ms) -- loss_pure: 0.6345, loss: 23300.7207, learning_rate: 0.0300
Step 3189 (160 ms) -- loss_pure: 0.4908, loss: 23299.1777, learning_rate: 0.0300
Step 3190 (162 ms) -- loss_pure: 0.7414, loss: 23298.0312, learning_rate: 0.0300
Step 3191 (157 ms) -- loss_pure: 0.7056, loss: 23296.5977, learning_rate: 0.0300
Step 3192 (180 ms) -- loss_pure: 0.6342, loss: 23295.1289, learning_rate: 0.0300
Step 3193 (123 ms) -- loss_pure: 0.4908, loss: 23293.5859, learning_rate: 0.0300
Step 3194 (159 ms) -- loss_pure: 0.7780, loss: 23292.4785, learning_rate: 0.0300
Step 3195 (171 ms) -- loss_pure: 0.5983, loss: 23290.9004, learning_rate: 0.0300
Step 3196 (134 ms) -- loss_pure: 0.5984, loss: 23289.5020, learning_rate: 0.0300
Step 3197 (176 ms) -- loss_pure: 0.6341, loss: 23288.1406, learning_rate: 0.0300
Step 3198 (159 ms) -- loss_pure: 0.6337, loss: 23286.7402, learning_rate: 0.0300
Step 3199 (155 ms) -- loss_pure: 0.5625, loss: 23285.2734, learning_rate: 0.0300
Step 3200 (164 ms) -- loss_pure: 0.8123, loss: 23284.1270, learning_rate: 0.0300
Step 3201 (139 ms) -- loss_pure: 0.6340, loss: 23282.5508, learning_rate: 0.0300
Step 3202 (134 ms) -- loss_pure: 0.7769, loss: 23281.2969, learning_rate: 0.0300
Step 3203 (129 ms) -- loss_pure: 0.4196, loss: 23279.5410, learning_rate: 0.0300
Step 3204 (123 ms) -- loss_pure: 0.5981, loss: 23278.3203, learning_rate: 0.0300
Step 3205 (140 ms) -- loss_pure: 0.6338, loss: 23276.9629, learning_rate: 0.0300
Step 3206 (154 ms) -- loss_pure: 0.7047, loss: 23275.6348, learning_rate: 0.0300
Step 3207 (161 ms) -- loss_pure: 0.8108, loss: 23274.3418, learning_rate: 0.0300
Step 3208 (153 ms) -- loss_pure: 0.7401, loss: 23272.8750, learning_rate: 0.0300
Step 3209 (143 ms) -- loss_pure: 0.5980, loss: 23271.3340, learning_rate: 0.0300
Step 3210 (155 ms) -- loss_pure: 0.6338, loss: 23269.9746, learning_rate: 0.0300
Step 3211 (154 ms) -- loss_pure: 0.6693, loss: 23268.6133, learning_rate: 0.0300
Step 3212 (177 ms) -- loss_pure: 0.7756, loss: 23267.3262, learning_rate: 0.0300
Step 3213 (143 ms) -- loss_pure: 0.7759, loss: 23265.9277, learning_rate: 0.0300
Step 3214 (137 ms) -- loss_pure: 0.7397, loss: 23264.4961, learning_rate: 0.0300
Step 3215 (154 ms) -- loss_pure: 0.9164, loss: 23263.2734, learning_rate: 0.0300
Step 3216 (122 ms) -- loss_pure: 0.5271, loss: 23261.4902, learning_rate: 0.0300
Step 3217 (139 ms) -- loss_pure: 0.7042, loss: 23260.2734, learning_rate: 0.0300
Step 3218 (144 ms) -- loss_pure: 0.5624, loss: 23258.7324, learning_rate: 0.0300
Step 3219 (160 ms) -- loss_pure: 0.8111, loss: 23257.5840, learning_rate: 0.0300
Step 3220 (158 ms) -- loss_pure: 0.7761, loss: 23256.1504, learning_rate: 0.0300
Step 3221 (125 ms) -- loss_pure: 0.7403, loss: 23254.7207, learning_rate: 0.0300
Step 3222 (164 ms) -- loss_pure: 0.8822, loss: 23253.4668, learning_rate: 0.0300
Step 3223 (153 ms) -- loss_pure: 0.6690, loss: 23251.8574, learning_rate: 0.0300
Step 3224 (143 ms) -- loss_pure: 0.7039, loss: 23250.4941, learning_rate: 0.0300
Step 3225 (173 ms) -- loss_pure: 0.7388, loss: 23249.1348, learning_rate: 0.0300
Step 3226 (143 ms) -- loss_pure: 0.6681, loss: 23247.6699, learning_rate: 0.0300
Step 3227 (182 ms) -- loss_pure: 0.7733, loss: 23246.3770, learning_rate: 0.0300
Step 3228 (173 ms) -- loss_pure: 0.6675, loss: 23244.8789, learning_rate: 0.0300
Step 3229 (140 ms) -- loss_pure: 0.6672, loss: 23243.4824, learning_rate: 0.0300
Step 3230 (161 ms) -- loss_pure: 0.6677, loss: 23242.0879, learning_rate: 0.0300
Step 3231 (154 ms) -- loss_pure: 0.5624, loss: 23240.5879, learning_rate: 0.0300
Step 3232 (164 ms) -- loss_pure: 0.8108, loss: 23239.4395, learning_rate: 0.0300
Step 3233 (159 ms) -- loss_pure: 0.7761, loss: 23238.0078, learning_rate: 0.0300
Step 3234 (160 ms) -- loss_pure: 0.7407, loss: 23236.5801, learning_rate: 0.0300
Step 3235 (147 ms) -- loss_pure: 0.5625, loss: 23235.0059, learning_rate: 0.0300
Step 3236 (135 ms) -- loss_pure: 0.8117, loss: 23233.8633, learning_rate: 0.0300
Step 3237 (155 ms) -- loss_pure: 0.6686, loss: 23232.3242, learning_rate: 0.0300
Step 3238 (165 ms) -- loss_pure: 0.8088, loss: 23231.0684, learning_rate: 0.0300
Step 3239 (168 ms) -- loss_pure: 0.7022, loss: 23229.5703, learning_rate: 0.0300
Step 3240 (138 ms) -- loss_pure: 0.5624, loss: 23228.0332, learning_rate: 0.0300
Step 3241 (134 ms) -- loss_pure: 0.6664, loss: 23226.7441, learning_rate: 0.0300
Step 3242 (150 ms) -- loss_pure: 0.5970, loss: 23225.2793, learning_rate: 0.0300
Step 3243 (152 ms) -- loss_pure: 0.6313, loss: 23223.9199, learning_rate: 0.0300
Step 3244 (157 ms) -- loss_pure: 0.6313, loss: 23222.5254, learning_rate: 0.0300
Step 3245 (122 ms) -- loss_pure: 0.5279, loss: 23221.0293, learning_rate: 0.0300
Step 3246 (168 ms) -- loss_pure: 0.6313, loss: 23219.7383, learning_rate: 0.0300
Step 3247 (149 ms) -- loss_pure: 0.5967, loss: 23218.3145, learning_rate: 0.0300
Step 3248 (123 ms) -- loss_pure: 0.8713, loss: 23217.1953, learning_rate: 0.0300
Step 3249 (139 ms) -- loss_pure: 0.6647, loss: 23215.5957, learning_rate: 0.0300
Step 3250 (128 ms) -- loss_pure: 0.6979, loss: 23214.2363, learning_rate: 0.0300
Step 3251 (216 ms) -- loss_pure: 0.7318, loss: 23212.8789, learning_rate: 0.0300
Step 3252 (209 ms) -- loss_pure: 0.5962, loss: 23211.3496, learning_rate: 0.0300
Step 3253 (179 ms) -- loss_pure: 0.6303, loss: 23209.9922, learning_rate: 0.0300
Step 3254 (192 ms) -- loss_pure: 0.7666, loss: 23208.7344, learning_rate: 0.0300
Step 3255 (165 ms) -- loss_pure: 0.6640, loss: 23207.2402, learning_rate: 0.0300
Step 3256 (158 ms) -- loss_pure: 0.8334, loss: 23206.0176, learning_rate: 0.0300
Step 3257 (140 ms) -- loss_pure: 0.7310, loss: 23204.5195, learning_rate: 0.0300
Step 3258 (147 ms) -- loss_pure: 0.5960, loss: 23202.9941, learning_rate: 0.0300
Step 3259 (173 ms) -- loss_pure: 0.7308, loss: 23201.7383, learning_rate: 0.0300
Step 3260 (603 ms) -- loss_pure: 0.6933, loss: 23200.3066, learning_rate: 0.0300
Step 3261 (131 ms) -- loss_pure: 0.6922, loss: 23198.9141, learning_rate: 0.0300
Step 3262 (107 ms) -- loss_pure: 0.6968, loss: 23197.5273, learning_rate: 0.0300
Step 3263 (109 ms) -- loss_pure: 0.6957, loss: 23196.1328, learning_rate: 0.0300
Step 3264 (113 ms) -- loss_pure: 0.6921, loss: 23194.7383, learning_rate: 0.0300
Step 3265 (123 ms) -- loss_pure: 0.6883, loss: 23193.3438, learning_rate: 0.0300
Step 3266 (127 ms) -- loss_pure: 0.6848, loss: 23191.9512, learning_rate: 0.0300
Step 3267 (128 ms) -- loss_pure: 0.6909, loss: 23190.5625, learning_rate: 0.0300
Step 3268 (119 ms) -- loss_pure: 0.6982, loss: 23189.1797, learning_rate: 0.0300
Step 3269 (110 ms) -- loss_pure: 0.6848, loss: 23187.7754, learning_rate: 0.0300
Step 3270 (110 ms) -- loss_pure: 0.6921, loss: 23186.3906, learning_rate: 0.0300
Step 3271 (113 ms) -- loss_pure: 0.6898, loss: 23184.9961, learning_rate: 0.0300
Step 3272 (110 ms) -- loss_pure: 0.6922, loss: 23183.6074, learning_rate: 0.0300
Step 3273 (118 ms) -- loss_pure: 0.6840, loss: 23182.2090, learning_rate: 0.0300
Step 3274 (118 ms) -- loss_pure: 0.6888, loss: 23180.8223, learning_rate: 0.0300
Step 3275 (121 ms) -- loss_pure: 0.6933, loss: 23179.4355, learning_rate: 0.0300
Step 3276 (119 ms) -- loss_pure: 0.6933, loss: 23178.0449, learning_rate: 0.0300
Step 3277 (114 ms) -- loss_pure: 0.6944, loss: 23176.6562, learning_rate: 0.0300
Step 3278 (111 ms) -- loss_pure: 0.6922, loss: 23175.2637, learning_rate: 0.0300
Step 3279 (113 ms) -- loss_pure: 0.6901, loss: 23173.8691, learning_rate: 0.0300
Step 3280 (112 ms) -- loss_pure: 0.6933, loss: 23172.4824, learning_rate: 0.0300
Step 3281 (114 ms) -- loss_pure: 0.6953, loss: 23171.0957, learning_rate: 0.0300
Step 3282 (115 ms) -- loss_pure: 0.6933, loss: 23169.7012, learning_rate: 0.0300
Step 3283 (106 ms) -- loss_pure: 0.6913, loss: 23168.3105, learning_rate: 0.0300
Step 3284 (114 ms) -- loss_pure: 0.6923, loss: 23166.9180, learning_rate: 0.0300
Step 3285 (113 ms) -- loss_pure: 0.6895, loss: 23165.5273, learning_rate: 0.0300
Step 3286 (128 ms) -- loss_pure: 0.6885, loss: 23164.1328, learning_rate: 0.0300
Step 3287 (106 ms) -- loss_pure: 0.6942, loss: 23162.7480, learning_rate: 0.0300
Step 3288 (117 ms) -- loss_pure: 0.6959, loss: 23161.3594, learning_rate: 0.0300
